懐かしい夏の思い出,なつかしいなつのおもいで
水たまりの波紋,みずたまりのはもん
雨上がりの虹,あめあがりのにじ
湿った風の匂い,しめったかぜのにおい
傘を弾く雨音,かさをはじくあまおと
軒下の雨宿り,のきしたのあまやどり
雨雲の切れ間,あまぐものきれま
しとしとと降る雨,しとしととふるあめ
遠くの雷鳴,とおくのらいめい
結露した窓ガラス,けつろしたまどがらす
通り雨が過ぎて,とおりあめがすぎて
夕立の気配,ゆうだちのけはい
冷たい秋の雨,つめたいあきのあめ
春の訪れを告げる雨,はるのおとずれをつげるあめ
雨粒が光る,あまつぶがひかる
傘をくるくると回す,かさをくるくるとまわす
雨の日の匂い,あめのひのにおい
灰色の空,はいいろのそら
天気雨の不思議,てんきあめのふしぎ
温かいココア,あたたかいここあ
お気に入りのマグカップ,おきにいりのまぐかっぷ
読みかけの小説,よみかけのしょうせつ
毛布にくるまる,もうふにくるまる
ゆらゆらと揺れる炎,ゆらゆらとゆれるほのお
淹れたての紅茶,いれたてのこうちゃ
レコードに針を落とす,れこーどにはりをおとす
雨の日の特権,あめのひのとっけん
部屋着のまま過ごす,へやぎのまますごす
心地よいソファ,ここちよいそふぁ
間接照明の灯り,かんせつしょうめいのあかり
窓辺の観葉植物,まどべのかんようしょくぶつ
オルゴールの音色,おるごーるのねいろ
温かいスープを飲む,あたたかいすーぷをのむ
少し遅めの朝食,すこしおそめのちょうしょく
静かな図書館,しずかなとしょかん
ロッキングチェア,ろっきんぐちぇあ
手紙を書く時間,てがみをかくじかん
パジャマのボタン,ぱじゃまのぼたん
キャンドルを灯す,きゃんどるをともす
星の見えない夜,ほしのみえないよる
眠りにつく前の時間,ねむりにつくまえのじかん
深い夜の静寂,ふかいよるのせいじゃく
夢の続きを見る,ゆめのつづきをみる
街灯の明かり,がいとうのあかり
優しい夜風,やさしいよかぜ
時計の秒針の音,とけいのびょうしんのおと
まぶたを閉じる,まぶたをとじる
静かな寝息,しずかなねいき
ふかふかの枕,ふかふかのまくら
今日という日を終える,きょうというひをおえる
夜汽車に揺られて,よぎしゃにゆられて
真夜中のメロディー,まよなかのめろでぃー
微睡みの中,まどろみのなか
白み始めた空,しらみはじめたそら
ブランケットの温もり,ぶらんけっとのぬくもり
穏やかな眠り,おだやかなねむり
夢と現実の狭間,ゆめとげんじつのはざま
夜の散歩道,よるのさんぽみち
月が雲に隠れる,つきがくもにかくれる
森の奥深く,もりのおくふかく
川のせせらぎ,かわのせせらぎ
風に揺れる草花,かぜにゆれるくさばな
朝露に濡れた葉,あさつゆにぬれたは
夕焼けに染まる雲,ゆうやけにそまるくも
静かな湖畔,しずかなこはん
波の音に耳を澄ます,なみのおとにみみをすます
木々のざわめき,きぎのざわめき
遠くの山並み,とおくのやまなみ
花びらが舞い散る,はなびらがまいちる
鳥のさえずり,とりのさえずり
秋の虫の音,あきのむしのね
雪の降る街,ゆきのふるまち
広大な海原,こうだいなうなばら
季節の移ろい,きせつのうつろい
星屑の海,ほしくずのうみ
苔むした岩,こけむしたいわ
夕暮れの帰り道,ゆうぐれのかえりみち
風の通り道,かぜのとおりみち
名もなき花,なもなきはな
無理をしなくていい,むりをしなくていい
焦らずに自分のペースで,あせらずにじぶんのぺーすで
深く息を吸い込む,ふかくいきをすいこむ
今日もお疲れ様でした,きょうもおつかれさまでした
猫が膝の上で丸くなる,ねこがひざのうえでまるくなる
何も考えない時間,なにもかんがえないじかん
ゆっくり歩こう,ゆっくりあるこう
心に余白を作る,こころによはくをつくる
小さな幸せを見つける,ちいさなしあわせをみつける
お気に入りの傘を開く,おきにいりのかさをひらく
肩の力を抜いて,かたのちからをぬいて
そのままの君でいい,そのままのきみでいい
時には立ち止まる,ときにはたちどまる
優しい言葉をかける,やさしいことばをかける
思い出に浸る,おもいでにひたる
寝癖がどうしても直らない,ねぐせがどうしてもなおらない
新しい朝が来る,あたらしいあさがくる
また明日,またあした
希望の光が差し込む,きぼうのひかりがさしこむ
今日も一日ありがとう,きょうもいちにちありがとう
